dataset,n_trees,model,perf_measure,perf_value_mean,perf_value_std,Conf_Matrix
phishing.csv,1,AdaBoost,acc,0.9303849344615894,0.02013140053085311,"[array([[129,   7],
       [  5, 105]]), array([[126,  10],
       [ 12,  98]]), array([[121,  15],
       [ 11,  99]]), array([[129,   7],
       [ 10, 100]]), array([[125,  12],
       [  3, 106]]), array([[130,   7],
       [ 10,  99]]), array([[128,   8],
       [  3, 106]]), array([[130,   6],
       [  6, 103]]), array([[125,  11],
       [ 11,  98]]), array([[125,  11],
       [  6, 103]])]"
phishing.csv,1,AdaBoost,auc,0.9303295284892842,0.020784608331984356,"[array([[129,   7],
       [  5, 105]]), array([[126,  10],
       [ 12,  98]]), array([[121,  15],
       [ 11,  99]]), array([[129,   7],
       [ 10, 100]]), array([[125,  12],
       [  3, 106]]), array([[130,   7],
       [ 10,  99]]), array([[128,   8],
       [  3, 106]]), array([[130,   6],
       [  6, 103]]), array([[125,  11],
       [ 11,  98]]), array([[125,  11],
       [  6, 103]])]"
phishing.csv,1,AdaBoost,f1,0.9304135304229344,0.020133643172448323,"[array([[129,   7],
       [  5, 105]]), array([[126,  10],
       [ 12,  98]]), array([[121,  15],
       [ 11,  99]]), array([[129,   7],
       [ 10, 100]]), array([[125,  12],
       [  3, 106]]), array([[130,   7],
       [ 10,  99]]), array([[128,   8],
       [  3, 106]]), array([[130,   6],
       [  6, 103]]), array([[125,  11],
       [ 11,  98]]), array([[125,  11],
       [  6, 103]])]"
phishing.csv,1,Grouped_Mixed_Bagging,acc,0.9352696200431392,0.0153669317754132,"[array([[126,  10],
       [  9, 101]]), array([[124,  12],
       [ 10, 100]]), array([[128,   8],
       [  7, 103]]), array([[132,   4],
       [ 10, 100]]), array([[128,   9],
       [  3, 106]]), array([[129,   8],
       [ 11,  98]]), array([[130,   6],
       [  7, 102]]), array([[131,   5],
       [  6, 103]]), array([[129,   7],
       [ 13,  96]]), array([[128,   8],
       [  6, 103]])]"
phishing.csv,1,Grouped_Mixed_Bagging,auc,0.9335327788542835,0.013504540295432745,"[array([[127,   9],
       [  8, 102]]), array([[121,  15],
       [  9, 101]]), array([[128,   8],
       [  8, 102]]), array([[131,   5],
       [ 10, 100]]), array([[128,   9],
       [  3, 106]]), array([[129,   8],
       [  6, 103]]), array([[129,   7],
       [ 10,  99]]), array([[131,   5],
       [  9, 100]]), array([[130,   6],
       [ 12,  97]]), array([[129,   7],
       [  7, 102]])]"
phishing.csv,1,Grouped_Mixed_Bagging,f1,0.9323720119880801,0.017787468006330683,"[array([[127,   9],
       [  8, 102]]), array([[122,  14],
       [ 12,  98]]), array([[127,   9],
       [  7, 103]]), array([[132,   4],
       [ 11,  99]]), array([[128,   9],
       [  2, 107]]), array([[129,   8],
       [ 10,  99]]), array([[130,   6],
       [  7, 102]]), array([[132,   4],
       [  8, 101]]), array([[129,   7],
       [ 13,  96]]), array([[127,   9],
       [  9, 100]])]"
phishing.csv,1,Incremental_Mixed_Bagging,acc,0.9377036668325868,0.012131418607488696,"[array([[128,   8],
       [  6, 104]]), array([[124,  12],
       [  9, 101]]), array([[127,   9],
       [  9, 101]]), array([[132,   4],
       [  8, 102]]), array([[129,   8],
       [  3, 106]]), array([[131,   6],
       [ 10,  99]]), array([[128,   8],
       [  5, 104]]), array([[132,   4],
       [ 11,  98]]), array([[131,   5],
       [ 12,  97]]), array([[128,   8],
       [  8, 101]])]"
phishing.csv,1,Incremental_Mixed_Bagging,auc,0.9358207001075393,0.017115991628172223,"[array([[127,   9],
       [  7, 103]]), array([[122,  14],
       [ 11,  99]]), array([[128,   8],
       [  8, 102]]), array([[131,   5],
       [  7, 103]]), array([[127,  10],
       [  3, 106]]), array([[129,   8],
       [  9, 100]]), array([[130,   6],
       [  5, 104]]), array([[132,   4],
       [  8, 101]]), array([[129,   7],
       [ 12,  97]]), array([[128,   8],
       [  7, 102]])]"
phishing.csv,1,Incremental_Mixed_Bagging,f1,0.9380747005044313,0.014312551017123086,"[array([[127,   9],
       [  6, 104]]), array([[122,  14],
       [  8, 102]]), array([[129,   7],
       [ 11,  99]]), array([[132,   4],
       [  8, 102]]), array([[130,   7],
       [  3, 106]]), array([[132,   5],
       [  9, 100]]), array([[129,   7],
       [  9, 100]]), array([[132,   4],
       [  8, 101]]), array([[130,   6],
       [ 12,  97]]), array([[126,  10],
       [  5, 104]])]"
phishing.csv,1,base,acc,0.9169620043139206,0.019756479746364217,"[array([[126,  10],
       [ 12,  98]]), array([[123,  13],
       [ 17,  93]]), array([[127,   9],
       [ 11,  99]]), array([[129,   7],
       [ 15,  95]]), array([[124,  13],
       [  4, 105]]), array([[125,  12],
       [ 14,  95]]), array([[127,   9],
       [  6, 103]]), array([[130,   6],
       [  8, 101]]), array([[128,   8],
       [ 11,  98]]), array([[126,  10],
       [  9, 100]])]"
